life_span,weight,name
12,6,Affenpinscher
13,50,Afghan Hound
11,44,African Hunting Dog
13,40,Airedale Terrier
12,90,Akbash Dog
14,65,Akita
13,55,Alapaha Blue Blood Bulldog
13,38,Alaskan Husky
15,65,Alaskan Malamute
12,60,American Bulldog
15,30,American Bully
15,20,American Eskimo Dog
15,7,American Eskimo Dog (Miniature)
15,65,American Foxhound
15,30,American Pit Bull Terrier
15,50,American Staffordshire Terrier
12,25,American Water Spaniel
13,80,Anatolian Shepherd Dog
14,48,Appenzeller Sennenhund
14,44,Australian Cattle Dog
13,31,Australian Kelpie
16,35,Australian Shepherd
15,14,Australian Terrier
13,33,Azawakh
15,40,Barbet
12,22,Basenji
14,35,Basset Bleu de Gascogne
15,50,Basset Hound
16,20,Beagle
14,45,Bearded Collie
12,80,Beauceron
16,17,Bedlington Terrier
14,40,Belgian Malinois
12,40,Belgian Tervuren
10,65,Bernese Mountain Dog
12,65,Black and Tan Coonhound
10,80,Bloodhound
14,45,Bluetick Coonhound
12,110,Boerboel
16,30,Border Collie
14,11.5,Border Terrier
13,10,Boston Terrier
15,70,Bouvier des Flandres
10,50,Boxer
14,25,Boykin Spaniel
12,55,Bracco Italiano
12,70,Briard
14,30,Brittany
12,50,Bull Terrier
14,25,Bull Terrier (Miniature)
12,100,Bullmastiff
15,13,Cairn Terrier
11,88,Cane Corso
14,25,Cardigan Welsh Corgi
12,50,Catahoula Leopard Dog
12,80,Caucasian Shepherd (Ovcharka)
14,13,Cavalier King Charles Spaniel
13,55,Chesapeake Bay Retriever
14,10,Chinese Crested
15,50,Chinook
15,40,Chow Chow
12,55,Clumber Spaniel
15,20,Cocker Spaniel
15,20,Cocker Spaniel (American)
16,9,Coton de Tulear
13,50,Dalmatian
12,80,Dogo Argentino
13,44,English Shepherd
14,35,English Springer Spaniel
12,8,English Toy Spaniel
13,6,English Toy Terrier
14,40,Eurasier
15,35,Field Spaniel
15,33,Finnish Lapphund
15,23,Finnish Spitz
11,28,French Bulldog
14,25,German Pinscher
13,50,German Shepherd Dog
14,45,German Shorthaired Pointer
12,65,Giant Schnauzer
15,32,Glen of Imaal Terrier
12,55,Golden Retriever
12,45,Gordon Setter
10,110,Great Dane
12,85,Great Pyrenees
13,50,Greyhound
15,12,Griffon Bruxellois
15,40,Harrier
15,7,Havanese
11,35,Irish Setter
16,25,Irish Terrier
8,105,Irish Wolfhound
15,7,Italian Greyhound
14,4,Japanese Chin
16,15,Japanese Spitz
15,35,Keeshond
12,80,Komondor
15,20,Kooikerhondje
10,70,Kuvasz
13,55,Labrador Retriever
16,24,Lagotto Romagnolo
15,6,Lancashire Heeler
8,120,Leonberger
15,12,Lhasa Apso
18,4,Maltese
15,20,Miniature American Shepherd
14,11,Miniature Schnauzer
10,100,Newfoundland
15,11,Norfolk Terrier
15,11,Norwich Terrier
14,35,Nova Scotia Duck Tolling Retriever
12,60,Old English Sheepdog
14,65,Olde English Bulldogge
17,3,Papillon
18,14,Pekingese
14,25,Pembroke Welsh Corgi
12,88,Perro de Presa Canario
14,40,Pharaoh Hound
14,40,Plott
15,15,Poodle (Miniature)
14,14,Pug
16,25,Puli
15,18,Pumi
18,8,Rat Terrier
12,45,Redbone Coonhound
12,75,Rhodesian Ridgeback
10,75,Rottweiler
12,3,Russian Toy
10,130,Saint Bernard
14,35,Saluki
14,50,Samoyed
15,10,Schipperke
10,70,Scottish Deerhound
13,18,Scottish Terrier
14,30,Shetland Sheepdog
16,17,Shiba Inu
18,9,Shih Tzu
14,120,Shiloh Shepherd
15,8,Silky Terrier
14,up,Smooth Fox Terrier
15,30,Soft Coated Wheaten Terrier
15,30,Spanish Water Dog
12,61,Spinone Italiano
14,24,Staffordshire Bull Terrier
15,30,Standard Schnauzer
14,20,Swedish Vallhund
12,35,Thai Ridgeback
14,85,Tibetan Mastiff
15,9,Tibetan Spaniel
15,20,Tibetan Terrier
15,4,Toy Fox Terrier
13,45,Treeing Walker Coonhound
14,50,Vizsla
15,55,Weimaraner
15,35,Welsh Springer Spaniel
20,15,West Highland White Terrier
15,25,Whippet
14,60,White Shepherd
14,15,Wire Fox Terrier
14,45,Wirehaired Pointing Griffon
14,45,Wirehaired Vizsla
14,9,Xoloitzcuintli
16,4,Yorkshire Terrier
